	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
28x20	202	147	331	68	48	91	88	79	74	44
26x4	559	246	400	452	186	191	222	341	190	256
27x9	728	365	496	273	113	163	150	218	113	238
30x6	248	147	191	440	74	98	66	109	70	168
31x7	163	105	198	207	52	44	41	62	45	68
20x24	611	438	2124	139	293	236	370	1122	167	229
19x5	171	2865	293	389	231	260	174	606	240	312
17x21	290	668	532	270	222	2572	250	467	256	287
22x18	286	305	2428	161	198	167	133	327	354	307
20x6	237	1190	385	216	240	202	157	638	186	333
18x18	170	329	1017	134	123	811	163	617	113	168
23x27	128	71	389	32	27	59	135	59	64	46
21x7	272	4986	964	179	264	336	224	361	267	236
11x23	174	176	852	79	100	188	111	440	91	107
24x13	512	353	467	167	117	168	135	494	340	193
25x8	116	55	184	65	46	43	51	61	36	55
13x21	211	252	712	144	266	483	152	3108	214	255
28x19	357	121	523	205	91	92	116	102	71	119
26x15	732	448	551	3813	241	405	412	359	759	292
29x18	1008	231	2173	362	205	176	186	354	123	182
27x14	460	203	1017	232	121	241	2742	221	172	158
30x9	386	275	123	213	89	101	87	199	114	107
28x9	994	286	507	274	128	159	115	303	204	129
31x12	3260	479	1417	534	360	249	281	636	875	325
29x12	1044	225	407	210	104	122	289	217	154	88
16x15	195	260	149	359	285	4949	147	234	238	135
30x19	620	210	901	120	118	128	112	212	151	162
19x10	243	276	799	238	168	236	204	1457	268	140
17x14	248	241	452	214	281	5012	178	379	205	236
22x21	305	338	1095	203	112	123	97	176	159	166
20x13	324	217	555	125	146	191	126	2183	174	230
18x13	246	239	786	150	151	321	117	555	116	181
23x16	339	253	808	302	217	228	171	2195	637	301
22x15	201	260	250	237	165	326	154	236	5846	178
23x14	340	209	848	177	144	137	97	268	892	194
24x20	540	486	1574	581	622	327	378	296	347	243
23x13	436	202	893	105	164	155	134	276	737	271
25x17	426	196	1000	176	135	136	101	195	166	144
26x22	351	145	656	106	140	105	100	116	70	68
27x7	5338	342	1118	914	602	354	377	562	262	476
29x5	800	407	821	4614	342	272	286	310	259	576
19x19	181	473	335	405	333	8883	275	309	458	198
31x19	1747	239	2099	141	190	174	170	236	214	186
20x20	203	175	969	122	70	202	71	228	134	89
21x9	242	913	452	260	255	343	177	531	135	246
17x25	554	302	1846	187	179	303	277	322	188	308
22x6	436	687	557	436	155	198	123	283	193	311
23x7	295	5329	294	807	382	318	259	199	206	226
14x18	187	283	487	170	322	4126	219	212	112	142
26x17	684	389	1480	368	150	283	286	292	238	249
19x24	254	398	1503	190	120	229	176	844	147	150
20x19	153	169	1207	125	113	220	141	337	147	137
16x19	74	118	277	73	62	148	54	644	53	66
21x18	278	164	2579	159	208	272	129	304	226	122
17x18	196	273	1566	258	229	4928	183	440	224	162
22x25	325	135	1040	135	104	125	252	333	112	2222
18x25	628	357	2016	203	232	434	276	414	175	299
32x12	1472	214	831	293	200	189	215	264	10327	292
14x21	128	123	730	89	142	137	147	1064	88	161
15x16	236	321	752	357	463	4924	234	650	444	240
26x24	523	158	521	132	97	107	103	162	134	108
